Ex3,Ex4,Ex5,Ex6,Ex7,Ex9,Ex11,Ex12,Ex13Antes,Ex13Depois,Ex15x,Ex15y,Ex17A,Ex17B
1,33.1,6.1,6.8,15,35.5,5,12.4,172,159,4.6,3.8,56,78
8.3,33.4,5.7,8.4,16,40.1,7,12.2,186,157,5.2,4.4,67,34
3.1,34.8,6,8.7,16,47.3,7,13.4,170,163,3.6,3.2,42,37
1.1,33.8,6.5,11.9,16,48.9,8,10.9,205,207,5,4,48,72
5.1,34.7,6,14.2,17,52.4,8,12.2,174,164,3.5,4.5,55,58
1.2,34.3,5.7,18.8,17,39.8,8,12.1,184,141,4.2,3.5,61,68
1,35.6,6.1,9.9,17,39.3,9,11.8,178,182,3.9,3.5,52,27
4.1,34.5,5.8,4.1,17,55.6,9,13.5,156,171,3.8,3.4,39,55
1.1,34.6,5.9,9.7,17,40.3,9,12,190,177,4.2,3.9,47,65
4,34.1,6.1,12.7,17,60.9,10,14.1,168,138,3.9,3.3,58,40
2,33.9,6.2,5.2,17,30.5,10,12.7,,,5.1,4.5,50,75
1.9,33.6,6,7.8,17,59.8,10,13.2,,,,,40,33
6.3,34.6,6.3,7.8,17,44.5,10,12.6,,,,,59,66
1.4,35.2,6.2,7.4,17,36.8,10,11.9,,,,,62,
1.3,33.7,6.1,7.3,17,36.6,10,13.1,,,,,44,
3.3,35.8,6.2,10.6,17,42.1,10,,,,,,57,
2.2,34.2,6,14.5,17,26.2,10,,,,,,,
2.3,34,5.7,10.7,17,33.3,10,,,,,,,
2.1,34.7,6.2,,17,65.4,11,,,,,,,
2.1,35.2,5.8,,17,45.1,11,,,,,,,
1.4,34.3,5.7,,17,,11,,,,,,,
2.7,33.4,6.3,,17,,11,,,,,,,
2.4,36,6.2,,17,,11,,,,,,,
3,34.5,5.7,,17,,11,,,,,,,
4.1,36.1,6.2,,17,,11,,,,,,,
5,35.1,6.1,,18,,11,,,,,,,
2.2,35.1,5.9,,18,,12,,,,,,,
1.2,34.6,6.5,,18,,12,,,,,,,
7.7,33.7,5.4,,18,,12,,,,,,,
1.5,34.9,6.7,,18,,12,,,,,,,
,34.2,5.9,,18,,12,,,,,,,
,34.2,6.1,,18,,13,,,,,,,
,34.2,5.9,,18,,13,,,,,,,
,35.3,5.9,,18,,13,,,,,,,
,34.2,6.1,,18,,14,,,,,,,
,,6.1,,18,,14,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,18,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
,,,,19,,,,,,,,,
